product_id,product_name,product_category,star_rating,sentiment,sentiment_score,issue_category,priority,summary,review_title,review_content
B07JW9H4J1,Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cabl,Computers&Accessories,4.2,Positive,8,Quality,Low,"Looks durable Charging is fine tooNo complains,Charging is really fast, good product","Satisfied,Charging is really fast,Value for money,Product review,Good quality,Good product,Good Product,As of now seems ","Looks durable Charging is fine tooNo complains,Charging is really fast, good product.,Till now satisfied with the quality.,This is a good product . The charging speed is slower than the original iPhone cable,Good quality, would recommend, had worked "
B098NS6PVG,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable f,Computers&Accessories,4.0,Positive,7,Quality,Low,I ordered this cable to connect my phone to Android Auto of car,"A Good Braided Cable for Your Type C Device,Good quality product from ambrane,Super cable,As,Good quality,Good product,i",I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car usin
B096MSW6CT,Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for ,Computers&Accessories,3.9,Positive,9,Quality,Low,"Not quite durable and sturdy, good, nice product,Working well,It's a really nice product","Good speed for earlier versions,Good Product,Working good,Good for the price,Good,Worth for money,Working nice,it's a re","Not quite durable and sturdy, good, nice product,Working well,It's a really nice product"
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-",Computers&Accessories,4.2,Positive,8,Value,Low,"Good product,long wire,Charges good,Nice,I bought this cable for Rs","Good product,Good one,Nice,Really nice product,Very first time change,Good,Fine product but could be better,Very nice it","Good product,long wire,Charges good,Nice,I bought this cable for Rs.339 worthy product for this price, i tested it in various charger adapters 33w and 18w it supports fast charging as well.,Good,Ok,I had got this at good price on sale on Amazon and p"
B08CF3B7N1,Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge,Computers&Accessories,4.2,Positive,9,Quality,High,"Bought this instead of original apple, does the work for 150rs, not as fast as apple charg","As good as original,Decent,Good one for secondary use,Best quality,GOOD,Amazing product at a mind blowing price!,Nice Qu","Bought this instead of original apple, does the work for 150rs, not as fast as apple charger but its a good option if you want cheap and good product, bought it for iPad pro 10.5 and it's working flawlessly, build quality is ok, its not like i am gon"
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in Ind",Computers&Accessories,3.9,Positive,8,Quality,Low,It's a good product,"It's pretty good,Average quality,very good and useful usb cable,Good USB cable. My experience was very good it is long l","It's a good product.,Like,Very good item strong and useful USB cableValue for moneyThanks to amazon and producer, product and useful product,-,Sturdy but does not support 33w charging"
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Cha",Computers&Accessories,4.1,Positive,9,Quality,Low,Build quality is good and it is comes with 2 year warranty,"Long durable.,good,Does not charge Lenovo m8 tab,Best charging cable,good,Boat,Product was good,1.5 m का केबल मेरे लिए ब","Build quality is good and it is comes with 2 year warranty.,Good Product,Bought it for charging my mobile & tab but it doesn't work for Lenovo m8 tab,Guys this cable is is best compare of everyone over heat protection, quickly charging, but chance to"
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories,4.3,Positive,10,Value,Low,Worth for money - suitable for Android auto,"Worth for money - suitable for Android auto,Good Product,Length,Nice,Original,Very good quay Cable support fast charging","Worth for money - suitable for Android auto... my purpose served in car....got it for Rs.150,Everything is Okay. But packaging is not good feeling like seller gave is used cable.,Good product,Good product but cost is more.,Original cable,I bought thi"
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adap",Computers&Accessories,4.2,Positive,8,Quality,Low,I use this to connect an old PC to internet,"Works on linux for me. Get the model with antenna.,Does what it say but other brands available at lesser price,Easy Hand","I use this to connect an old PC to internet. I tried lubuntu 20 and ubuntu 22, it worked out of the box in both, didn't have to do any setup. There's an extender cable so you can place this in a comfortable place. Get the model with antenna because o"
B082LZGK39,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cabl,Computers&Accessories,4.0,Positive,7,Quality,Low,I ordered this cable to connect my phone to Android Auto of car,"A Good Braided Cable for Your Type C Device,Good quality product from ambrane,Super cable,As,Good quality,Good product,i",I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car usin
